Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ARE_annex_bern_desc;Bern is a loose confederation of German states that came under our sovereignty following the Martletist Wars. With the situation around us rapidly changing, and the German nationalist cause gaining more and more traction, we must liquidate the entity and assume direct control of the Swiss borderlands.;;;;;;;;;;;;;
ARE_unite_the_burgundies_title;Unite the Burgundies;;;;;;;;;;;;;
ARE_unite_the_burgundies_desc;The duchies of Lower and Upper Burgundy have been disunited for many centuries. The Kingdom of Arles is technically the direct continuation of the Upper Burgundian state, and we must finally unite the children of the Rhone by claiming the throne of Lorraine.;;;;;;;;;;;;;
ARE_press_savoyard_claims_title;Press the Savoyard Claim;;;;;;;;;;;;;
ARE_press_savoyard_claims_desc;The Dukes of Savoy once held domain over both Savoy and Piedmont. Things have changed, and the two provinces are disunited again, but with Savoy being an integral part of the Arelat nation, we hold a substantial claim to the Piedmontese throne. Let us press it.;;;;;;;;;;;;;
ARE_claim_italian_throne_title;Claim the Italian Throne;;;;;;;;;;;;;
ARE_claim_italian_throne_desc;Arles has been directly involved in Italian affairs for many centuries. Now that we have firmly established ourselves in Northen Italy, we may extend our claims and conquer even the Eternal City!;;;;;;;;;;;;;
ARE_restore_occitania_title;Restore Occitania;;;;;;;;;;;;;
ARE_restore_occitania_desc;The Kingdom of Occitania, our sister and a close ally, fell during the Martletist Wars, its lands being forced to join union with Oilitanie. We are the most obvious inheritor of Occitania's legacy, and we must liberate Occitania's domains from the Oilitans, for we are the heirs to Occitania!;;;;;;;;;;;;;
ARE_annex_catalonia_title;Annex Catalonia;;;;;;;;;;;;;
ARE_annex_catalonia_desc;Catalonia is a natural extension of Occitania, being culturally, linguistically and economically close to us. Since we already hold substantial influence in the Balearic Sea, it would only be logical if we conquered Catalonia too.;;;;;;;;;;;;;
ARE_latin_empire_title;The Latin Empire;;;;;;;;;;;;;
ARE_latin_empire_desc;Our relentless ambition has brought the Arelat state to unseen heights. We are the masters of the Western Mediterranean, and with the lands we hold being so culturally close, we must unite them based on the common principles we share. Let us proclaim the Latin Empire, an heir to Rome!;;;;;;;;;;;;;
LTN_accept_spain_title;Accept the Spanish;;;;;;;;;;;;;
LTN_accept_spain_desc;The peoples of Spain are about as Latin as we are. We must integrate them.;;;;;;;;;;;;;
LTN_accept_france_title;Accept the Oilitans;;;;;;;;;;;;;
LTN_accept_france_desc;The peoples of Oilitania are about as Latin as we are. We must integrate them.;;;;;;;;;;;;;
FRA_lorraine_title;End the Duchy of Lorraine;;;;;;;;;;;;;
FRA_lorraine_desc;Lorraine is a remnant of the ages past, when the nation was disunited. We must bring the Upper Burgundians in line.;;;;;;;;;;;;;
FRA_arles_title;Down the Rhone;;;;;;;;;;;;;
FRA_arles_desc;The opportunistic Arles claims that the little mercantile state is the heir to Occitania. We will put them in their place and reintegrate the old Frankish lands of Lower Burgundy into France!;;;;;;;;;;;;;
FRA_wallonia_title;Protect Wallonia;;;;;;;;;;;;;
FRA_wallonia_desc;The Walloons have been subjugated by the Germans ever since the formation of the Holy Roman Empire. With the path to Wallonia clear, we must liberate them.;;;;;;;;;;;;;
ACA_independence_title;Independence for Acadia;;;;;;;;;;;;;
ACA_independence_desc;Acadia is ready for independence. It's better for us to part them the way Leon parted with Ayllonia, and not the way everyone parted with Vrijland - as such, we must do it now, before it's too late.;;;;;;;;;;;;;
komneniad_tips_BAV_title;The Komneniad: Tips;;;;;;;;;;;;;
komneniad_tips_BAV_desc;This decision will give you an event listing general tips and FAQs for a country you're playing. Tips typically include formables with incomprehensible requirements.;;;;;;;;;;;;;
komneniad_tips_BYZ_title;The Komneniad: Tips;;;;;;;;;;;;;
komneniad_tips_BYZ_desc;This decision will give you an event listing general tips and FAQs for a country you're playing. Tips typically include formables with incomprehensible requirements.;;;;;;;;;;;;;
AAL_formation_title;Propose Creation of Ard al-Hurriyah;;;;;;;;;;;;;
AAL_formation_desc;Following our War for Independence with Andalusia, Sahel al-Wafir and Biru, despite initially acting as a united front, split apart. There is no doubt that the destiny of our people is to unite the two countries into one. If we manage to secure good enough relations with our neighbor, the unification might turn our to be entirely bloodless.;;;;;;;;;;;;;
AAL_formation_militarily_title;Create Ard al-Hurriyah by force;;;;;;;;;;;;;
AAL_formation_militarily_desc;Unification of Sahel al-Wafir and Biru cannot be done without bloodshed. We must be the first ones to attack!;;;;;;;;;;;;;
AAL_annex_guaymura_title;Annex Taguzgalpa;;;;;;;;;;;;;
AAL_annex_guaymura_desc;Taguzgalpa was a nation born from war and bloodshed, and houses a population of half-Hispanics half-Andalusians. This bastard nation can't exist for much longer. Before any opportunists exploit this, we will end their independence to protect the Muslims living there.;;;;;;;;;;;;;
AAL_annex_welserland_title;Annex Welserland;;;;;;;;;;;;;
AAL_annex_welserland_desc;Welserland is an aristocratic German statelet on our eastern border. Relations with them have never been particularly good, as border conflicts were common. But as their nation is small, annexing it wouldn't be a problem.;;;;;;;;;;;;;
AAL_buy_welserland_title;Buy Welserland;;;;;;;;;;;;;
AAL_buy_welserland_desc;Welserland is an aristocratic German statelet on our eastern border. Relations with them have never been particularly good, as border conflicts were common. But as their nation is small, annexing it wouldn't be a problem. Thankfully, they have yet to gain independence, so we might just be able to buy Welserland.;;;;;;;;;;;;;
AAL_diplo_annex_WEL_title;Diplomatically Annex Welserland;;;;;;;;;;;;;
AAL_diplo_annex_WEL_desc;Welserland is an aristocratic German statelet on our eastern border. Relations with them have never been particularly good, as border conflicts were common. But as their nation is small, annexing it wouldn't be a problem. Though with their independence from the Germans secured, we might be able to convince them to join us..;;;;;;;;;;;;;
BIR_annex_borderlands_title;Annex the Borderlands;;;;;;;;;;;;;
BIR_annex_borderlands_desc;The borderlands of Biru have been claimed first by the colonial administration, then by the independent state of Biru, but true control has never been established. With advancements in technology and a changing world around us, properly integrating these lands is not just a possibility, it's a necessity.;;;;;;;;;;;;;
BIR_claim_lowlands_title;Claim the Lowlands;;;;;;;;;;;;;
BIR_claim_lowlands_desc;Jirijuta is a flat region next to the foothills of Biru. Certainly valuable, it must be secured.;;;;;;;;;;;;;
AAL_annex_faruduu_title;Annex Faruduu;;;;;;;;;;;;;
AAL_annex_faruduu_desc;Faruduu, meaning 'Swamp Country', is a loosely populated region on the Atlantic Coast, which has somehow managed to survive the various incursions and maintain its independence. Though in the past the crops which are grown locally were an extremely valuable commodity, nowadays these lands are of little interest to anyone. As they are populated by the descendants of the Mande, who follow Islam, we must incorporate this little country.;;;;;;;;;;;;;
BIR_claim_potosi_title;Claim the Potosi;;;;;;;;;;;;;
BIR_claim_potosi_desc;The Potosi Mountains are famous for having the biggest supply of silver in the world. Securing them would bring us invaluable wealth, and considering the detireorating relations with Antartida, it's a fairly logical thing to do.;;;;;;;;;;;;;
AAL_annex_guatemala_title;Annex Yucatan;;;;;;;;;;;;;
AAL_annex_guatemala_desc;In the centuries prior, when Andalusia and Leon waged war in the Antillean, our ancestors used the sour relations between the Natives of Mesocolombia and their Leonese overlords to their advantage by spreading the Islamic faith among the Mayans. And despite the fact that Andalusia was never able to firmly establish itself on the Yucatan, the ceonsequences of these actions are still felt, with many Mayans still being Muslim. As tensions between the Yucatec Hispanics and the Natives grow, the latter group may just welcome us as liberators.;;;;;;;;;;;;;
AAL_accept_mayans_title;Accept the Mayans;;;;;;;;;;;;;
AAL_accept_mayans_desc;With Yucatan secured, we may finally integrate the local populace into our administration.;;;;;;;;;;;;;
AAL_accept_andeans_title;Accept the Andeans;;;;;;;;;;;;;
AAL_accept_andeans_desc;The Natives of the Andes have long intermingled with the Janatiyin. We might not be of same ancestry, or speak the same language, but we share similar values. We must give them equal rights.;;;;;;;;;;;;;
IRA_form_iran_title;King of Kings, Ruler of Rulers;;;;;;;;;;;;;
IRA_form_iran_desc;The lands of Iran have been engulfed in chaos for many decades. It is time to subdue the other forces seeking to dominate Iran. We should unite these ancient lands!;;;;;;;;;;;;;
IRA_eat_iraq_title;Integrate Iraq;;;;;;;;;;;;;
IRA_eat_iraq_desc;Iraq has been under Iranian influence since it was conquered by the Sakarmans in the 16th century. We should fully integrate the Fertile Crescent into our state.;;;;;;;;;;;;;
IRA_secure_gulf_title;Secure the Persian Gulf;;;;;;;;;;;;;
IRA_secure_gulf_desc;The Persian Gulf is a lucrative trade lifeline of our entire Empire. We cannot allow the mercantile Arab lords on the southern coast to threaten our shipping routes. We should subjugate them!;;;;;;;;;;;;;
IRA_subdue_pashtuns_title;Subdue the Pashtuns;;;;;;;;;;;;;
IRA_subdue_pashtuns_desc;The eastern border of Iran has never been properly controlled by any of the Iranian Empires of old. To better protect our flank, we need to invade these lands and extablosh complete control over the local populace.;;;;;;;;;;;;;
IRA_accept_turkmen_title;Accept the Turkmen;;;;;;;;;;;;;
IRA_accept_turkmen_desc;The nomadic Turkmen tribes have troubled Iran for over a millenium. We will Persianise them.;;;;;;;;;;;;;
IRA_integrate_transoxiana_title;Integrate Transoxiana;;;;;;;;;;;;;
IRA_integrate_transoxiana_desc;Transoxiana, the Land between the Rivers, is a fertile area surrounded by inhospitable deserts and steppes. Since times immemorial, these lands have been inseparably tied with Iran in one way or another. We should secure them.;;;;;;;;;;;;;
IRA_eat_assyria_title;Conquer Assyria;;;;;;;;;;;;;
IRA_eat_assyria_desc;Assyria is a rogue state, with Assyrians barely contributing the majority of the population. With them holding lands that are populated by our Kurdish brethen, we should end the existence of this polity.;;;;;;;;;;;;;
IRA_caucasus_title;Invade the Caucasus;;;;;;;;;;;;;
IRA_caucasus_desc;The people of the Caucasus are, just like those of Mesopotamia, Transoxiana and Afghaistan, inseparably connected to Iran. We should take the Armenian and Shirvani lands.;;;;;;;;;;;;;
IRA_retake_mazandaran_title;Retake Mazandaran;;;;;;;;;;;;;
IRA_retake_mazandaran_desc;Mazandaran was conquered by Russia when the Sakarman state collapsed due to pressure from all sides in the 18th century. Russian meddling in Iranian affairs has deprived us of access to the Caspian Sea. If we are to prosper, this injustice needs to be rectified.;;;;;;;;;;;;;
TUR_eastern_frontier_title;The Eastern Frontier;;;;;;;;;;;;;
TUR_eastern_frontier_desc;With our core lands reconquered, we may look further to the east, where Afghan tribes bicker and sow chaos across the lands. If we've learned anything from the Manghit invasion, it's that you cannot allow thing like this to foster on your border. We need to take preemptive measures and attack.;;;;;;;;;;;;;
MGT_proclaim_empire_title;Proclaim the Manghit Empire;;;;;;;;;;;;;
MGT_proclaim_empire_desc;With the end of the Benderlid dynasty, we, the Manghits, are the only force left in Iran. Just as many conquerors before us have done, we shall absorb the Iranian culture and create a Persianate empire, seizing the future of these lands from the locals.;;;;;;;;;;;;;
AST_claim_new_holland_title;Claim New Holland;;;;;;;;;;;;;
AST_claim_new_holland_desc;The lands of New Holland were once claimed by the Occitan Empire, but revolution at home forced the colonisation efforts to be postponed, and, with the fall of Occitania, be completely abandoned. We can't allow any European or otherwise colonial power to hold lands in immediate proximity to us. We need to take New Holland ourselves.;;;;;;;;;;;;;
AST_claim_occitania_title;Liberate Occitania;;;;;;;;;;;;;
AST_claim_occitania_desc;When Occitania fell, the colonial governor of Meridionalia, Aimar Chambon, vowed to never abandon the Metropole. When the treacherous Great Powers of Europe fave Occitania to the vile Oilitans, Aimar Chambon refused to recognise the unlawful annexation. And even as the newly-formed 'France' declared that it had no interest in reclaiming Occitania's colonial Empire, Aimar Chambon didn't abandon the Fatherland, calling on all patriotic Occitans of the world to take part in a grand reclamation of the country. Despite the opposition, we shall officialize this ambition.;;;;;;;;;;;;;
AST_form_occitania_title;Form Occitania;;;;;;;;;;;;;
AST_form_occitania_desc;Despite all odds, the revolution, the foreign occupation and the exile in Meridionalia, the Occitan nation has endured, finding its way home one way or another. The ancient realm shall be restored - let us proclaim a free Occitania!;;;;;;;;;;;;;
ZPD_annex_prussia_title;Annex Prussia;;;;;;;;;;;;;
ZPD_annex_prussia_desc;Recent happenings in Germany clearly highlight how our diplomatic inactivity on this front and disinterest in the German affairs brought a severe threat to our border. If Bavaria is busy now, we need to solve the greatest issue of the all: the existance of Prussia, who deny us sea access.;;;;;;;;;;;;;
ZPD_great_national_reform_title;The Great National Reform;;;;;;;;;;;;;
ZPD_great_national_reform_desc;Not every one of the many nationalities of Zapadoslavia is yet properly represented in the administration, with there being many remnants of old feudal political organisation in place, such as the massive Crown of Bohemia of the Galician Autonomy. We need to reform the internal organisation of the state completely, so that many of the old and temporary institutions are replaced by a modern federal organisation, where all Slavs are equals. Th reform would include moving the capital to the nation's center - Krakow.;;;;;;;;;;;;
ZPD_create_ngf_title;Federalise North Germany;;;;;;;;;;;;;
ZPD_create_ngf_desc;Our extensive influence in the North German states can be used to our advantage. If we eliminate the last vestiges of Bavarian meddling in these areas, we can propose creation of a federal North German State, under our control, of course.;;;;;;;;;;;;
ZPD_expand_ngf_title;Expand the North German Federation;;;;;;;;;;;;;
ZPD_expand_ngf_desc;We can force the most culturaally similar of our 'allies' in North Germany to join the Federation.;;;;;;;;;;;;;
ZPD_take_sorbia_title;Take Sorbia;;;;;;;;;;;;;
ZPD_take_sorbia_desc;The Sorbs are a tiny West Slavic ethnic group who hail from the old Slavic population of Germany, the Wends. They have have, unfortunately, been left to live in Saxony, and are being actively assimilated by the Germans. We can leverage our influence in Saxony to force them to give up Sorbia, but the Duke of Saxony will NOT like that. ;;;;;;;;;;;;;
ZPD_liberate_sorbia_title;Liberate Sorbia;;;;;;;;;;;;;
ZPD_liberate_sorbia_desc;The Sorbs are a tiny West Slavic ethnic group who hail from the old Slavic population of Germany, the Wends. They have have, unfortunately, been left to live in Saxony, and are being actively assimilated by the Germans. We cannot allow our brethen to be completely eliminated under the German yoke: we must liberate them!;;;;;;;;;;;;;
ZPD_integrate_the_sorbs_title;Integrate the Sorbs;;;;;;;;;;;;;
ZPD_integrate_the_sorbs_desc;Having liberated the Sorbs, we can integrate them into our administration.;;;;;;;;;;;;;
UBD_unite_title;Federalise the Union;;;;;;;;;;;;;
UBD_unite_desc;The Baltic Union is a confederation that was left mostly stagnant after the dissolution of the Livonian Order in the 16th century. We must bring an end to this state of affairs and create a federal entity.;;;;;;;;;;;;;
LIT_annex_courland_title;Claim Courland;;;;;;;;;;;;;
LIT_annex_courland_desc;Courland had been historically heavily intertwined with Lithuania economically, politically and dynastically. With a changing political landscape in Eastern Europe, we must claim the small Duchy and incorporate it.;;;;;;;;;;;;;
LIT_cross_the_dnieper_title;Cross the Dnieper;;;;;;;;;;;;;
LIT_cross_the_dnieper_desc;For centuries the Grand Duchy of Lithuania seeked to restore its old domains, seized by the Russians in the 15th and the 16th centuries. All of them have failed, but we are certain that this time it will be different.;;;;;;;;;;;;;
LIT_retake_kiev_title;Retake Kiev;;;;;;;;;;;;;
LIT_retake_kiev_desc;The first stage of our reconquest has been successful! We must not stop the pressure. Kiev must by taken!;;;;;;;;;;;;;
LIT_restore_grand_duchy_title;Restore the Old Borders;;;;;;;;;;;;;
LIT_restore_grand_duchy_desc;With the core lands of our Duchy reconquered, we may look to the more distant domains, mostly in the steppes. Some of them have never even been properly controlled by us, but it must not stop our ambitions. Lithuania will be great!;;;;;;;;;;;;;
RUS_integrate_little_russia_title;Integrate Little Russia;;;;;;;;;;;;;
RUS_integrate_little_russia_desc;The lands of Little Russia are not ruled directly from Moscow, instead being organised as autonomous governorates (or hosts). It's time to incorporate the Mother of Russian Cities, Kiev, and the surrounding lands into Russia proper.;;;;;;;;;;;;;
RUS_finish_unification_title;Finish the Gathering the of Russian Lands;;;;;;;;;;;;;
RUS_finish_unification_desc;Centuries ago, The Grand Duchy of Lithuania began its incursion into East Slavic lands, taking advantage of the Mongol invasion and subjugating many lands, even managing to threaten Moscow itself. As time went on, we slowly reclaimed these lands, but now it is time to fully restore the borders of old Rus'.;;;;;;;;;;;;;
RUS_window_to_europe_title;A Window to Europe;;;;;;;;;;;;;
RUS_window_to_europe_desc;The Baltic ports in Livonia would certainly help Russian commerce. Klyuchevsk was a failed endeavour at getting such ports, but with there being no powers strong enough to stop us now, we must invade the Baltic Union and properly secure Baltic Sea Trade.;;;;;;;;;;;;;
RUS_incorporate_lithuania_title;Incorporate Lithuania;;;;;;;;;;;;;
RUS_incorporate_lithuania_desc;Integration of the Baltics and Belorussia make Lithuania a rump state, unable to defend itself from any invaders. We must annex them.;;;;;;;;;;;;;
RUS_accept_baltics_title;Accept the Baltic Peoples;;;;;;;;;;;;;
RUS_accept_baltics_desc;After our conquests on the Baltic Sea Coast, the population of these lands, consisting of Estonians, Latvians and Lithuanians, have never been given equal rights. We needd to integrate them fully.;;;;;;;;;;;;;
SWE_integrate_finland_title;Integrate Finland;;;;;;;;;;;;;
SWE_integrate_finland_desc;Following the Revolution in Sweden, Finland declared autonomy and refused to recognize the conquests of the Revolution. It's time to show them that such bold moves will not be allowed.;;;;;;;;;;;;;
SWE_claim_scandinavia_title;Claim Scandinavia;;;;;;;;;;;;;
SWE_claim_scandinavia_desc;The peoples of Scandinavia are all brothers, sharing similar values and hailing from the same ancestors. We must declare our intention to unify Scandinavia.;;;;;;;;;;;;;
SWE_form_scandinavia_title;Form Scandinavia;;;;;;;;;;;;;
SWE_form_scandinavia_desc;The concept of a united Scandinavia has never been proposed before, though it seems to be an obvious future for the Scandinavian peoples. We must unify them into a federation of equals.;;;;;;;;;;;;;
SCA_claim_baltics_title;Claim the Baltics;;;;;;;;;;;;;
SCA_claim_baltics_desc;Scandinavia has always had interest in the Baltic lands, with some states even directly holding land in the area. With a political unification of Scandinavia, we must return to our natural sphere of interest and claim Livland and Estland.;;;;;;;;;;;;;
DEN_claim_finland_title;Claim Finland;;;;;;;;;;;;;
DEN_claim_finland_desc;Finland declared autonomy from Sweden following a revolution in the latter, but as it became clear that the Swedish state utterly fell apart, they decided to declare full independence. We must protect them from Russia.;;;;;;;;;;;;;
DEN_form_scandinavia_title;Form Scandinavia;;;;;;;;;;;;;
DEN_form_scandinavia_desc;The concept of a united Scandinavia has never been proposed before, though it seems to be an obvious future for the Scandinavian peoples. We must unify them into a federation of equals.;;;;;;;;;;;;;
AYL_AI_comancheria_desc;The AI never colonizes states with cores of an existing country. This decision forces AYL to colonize a state with a MEX core;;;;;;;;;;;;;
YUG_form_title;Form Yugoslavia;;;;;;;;;;;;;
YUG_form_desc;The South Slavs are brothers, sharing the same hardships and speaking similar language. We should unite the Serbs, Croats and Slovenes!;;;;;;;;;;;;;
YUG_claim_yugo_title;Yugoslavism;;;;;;;;;;;;;
YUG_claim_yugo_desc;With our independence secured, we must seek to bring our South Slavic brothers into the fold by forming a united South Slavic nation. Let us claim the lands of Yugoslavia!;;;;;;;;;;;;;
YUG_claim_bulgaria_title;Claim Bulgaria;;;;;;;;;;;;;
YUG_claim_bulgaria_desc;Bulgarians might have come from Turkic stock and later heavily Hellenised, but they are still South Slavs. There are many of those who proposed including Bulgarians into the initial idea of Yugoslavia, so we must finally integrate them.;;;;;;;;;;;;;
ENG_claim_north_desc;Claim the North;;;;;;;;;;;;;
ENG_claim_north_title;The Northwest of England is occupied by the Celts. We should liberate our countrymen!;;;;;;;;;;;;;
BYZ_reclaim_crimea_title;Reclaim Crimea;;;;;;;;;;;;;
BYZ_reclaim_crimea_desc;Despite our previous agreement with Russia, our two states have found themselves at war with each other once again. This means that all agreements with Moscow are hereby declared null and void!;;;;;;;;;;;;;
annex_asian_puppet_title;Doctrine of Lapse;;;;;;;;;;;;;
annex_asian_puppet_desc;Asia is filled with small principalities, many of them being unable to defend and thus falling into dependence on imperialist powers. In order to better administer these lands, we should incorporate any subjects of ours directly into our Empire.;;;;;;;;;;;;;
komneniad_menu_title;Open the Komneniad Menu;;;;;;;;;;;;;
komneniad_menu_desc;This decision opens the Komneniad Menu, which allows you to see some info like debug, credits and other.;;;;;;;;;;;;;
AAL_win_title;Enforce Peace in Ard Alhuriya;;;;;;;;;;;;;
AAL_win_desc;By occupying an overwhelming majority of our enemy's provinces, we can force them to the negotiating table.;;;;;;;;;;;;;
KIB_end_slavery_title;End Slavery in Kibaru;;;;;;;;;;;;;
KIB_end_slavery_desc;Slavery is a relic of the past that we inherited from our Malian homeland. Arguably, exploitation of our kin was one of the reasons for the downfall of Mali. We must end this inhumane practice.;;;;;;;;;;;;;
KIB_retake_selidankan_title;Retake Selidankan;;;;;;;;;;;;;
KIB_retake_selidankan_desc;The Southern Frontier was seized by Antartidans in the wake of post-colonial chaos in Numanbola. With us managing to recover from the disastrous Civil War, we need to rectify this injustice..;;;;;;;;;;;;;
KIB_colonize_nogojidaga_title;Colonize Nogojidaga;;;;;;;;;;;;;
KIB_colonize_nogojidaga_desc;Nogojidaga is a swampy region on the crossroad of three nations. We must secure it ourselves, lest someone else takes it.;;;;;;;;;;;;;
KIB_future_of_kibaru_title;The Future of Kibaru;;;;;;;;;;;;;
KIB_future_of_kibaru_desc;Kibaru was set adrift following the collapse of the Mali Empire at the end of the 18th century. We faced civil war, Antartidan invasion and a demographic and economic collapse. As we made our way towards recovery, we have bested all of these issues, and now our position is stronger than ever. Other problems will have to be solved now. It's time to choose.;;;;;;;;;;;;;
KIB_form_arajana_title;Form Arajana;;;;;;;;;;;;;
KIB_form_arajana_desc;Arajana, our home continent, houses the descendants of various West African peoples - the Numanbolans, descended chiefly from the Bambara majority of Mali, Kuto Wolof, descended from the Wolof, and Faruduans, descended from the Mande. We all share the same values and follow the same faith. It is our destiny to be united and form a paradise for all Africans in the New World.;;;;;;;;;;;;;
KIB_move_capital_title;The New Capital of $COUNTRY$;;;;;;;;;;;;;
KIB_move_capital_desc;To the south of our current capital lies the city of Lorenuman, located in a natural bay. Due to its wetter climate and great views the town has been growing rapidly, with many immigrants and refugees choosing it when moving into Kibaru. We will renovate the city and establish it as a capital of our nation.;;;;;;;;;;;;;
KIB_form_mali_title;Restore the Mali Empire;;;;;;;;;;;;;
KIB_form_mali_desc;The Mali Empire was the greatest West African state, managing to compete with European powers in the New World after being the first to discover it. Unfortunately, it fell due to internal issues, an Andalusian invasion and religious fundamentalists. We have made the choice to claim the legacy of Mali - an we shall restore it!;;;;;;;;;;;;;
KIB_colonize_amazon_title;Colonize Kungo Belebeleba;;;;;;;;;;;;;
KIB_colonize_amazon_desc;Kungo Belebeleba is a great forest to our east, formed along the Maranian River. We should secure its southern half.;;;;;;;;;;;;;
AYL_buy_cuba_title;Buy Cuba;;;;;;;;;;;;;
AYL_buy_cuba_desc;During the signing of the Treaty of San Agustin, Leon insisted on keeping the island of Cuba in their possession, hoping to exploit the local plantations and exert influence on the entire Antillean. However, as years went by, local resistance strengthened, and now Cuba is little more than a dead weight on Leon's shoulders. If we were to offer them to sell it to us, chances are that they will agree to finally give it up.;;;;;;;;;;;;;
AYL_claim_cuba_title;Claim Cuba;;;;;;;;;;;;;
AYL_claim_cuba_desc;During the signing of the Treaty of San Agustin, Leon insisted on keeping the island of Cuba in their possession, hoping to exploit the local plantations and exert influence on the entire Antillean. Now, we must liberate the last colonial holding of Leon by force.;;;;;;;;;;;;;
CLT_annex_india_title;End the Bengal Protectorate;;;;;;;;;;;;;
CLT_annex_india_desc;The Bengal Protectorate was created as a temporary measure to administer the lands conquered by the Gaelic Kingdom in India. With our methods of governance advancing, it is becoming clear that the Protectorate has outlived its usefulness. It's time to annex it.;;;;;;;;;;;;;
ATA_claim_potosi_title;Claim Upper Biru;;;;;;;;;;;;;
ATA_claim_potosi_desc;When Occitan settlers arrived at the coast of the Pacific Ocean in the early 17th century, they were met by what seemed to be a diverse array of peoples undergoing Islamicization. As it later turned out, what they met was the Kingodm of Kollasuyu, a rump state of the Inca Empire that consisted of various local peoples who rebelled against the dying Empire during its conquest by Andalusia. These people were called the Culani, and before substantial contact could be made, the Kingdom was incorporated into Biru. Though the region is now firmly Biruan, we can't ignore the incredibly rich silver mines of the area, as well as sulphur deposits on the coast. We must conquer these lands!;;;;;;;;;;;;;
ATA_colonize_secaia_title;Colonize Central Secaia;;;;;;;;;;;;;
ATA_colonize_secaia_desc;Secaia, a region named so after its arid nature, is a vast plains region in the middle of Araiana inhabited by warlike native tribes. Proper conquest of these lands was deemed to be too costly for the longest time, but with new armaments and increasing need for the natives to trade and cooperate with us, we will take the plains over in no time.;;;;;;;;;;;;;
ATA_colonize_lespandida_title;Colonize L'Espandida;;;;;;;;;;;;;
ATA_colonize_lespandida_desc;L'Espandida is a flat, grassy plain to our south. Antartidan settlers have began venturing into these land a long time ago, and it's time for the Antartidan state to follow them and establish a proper administration.;;;;;;;;;;;;;
ATA_colonize_patagonia_title;Colonize Patagonia;;;;;;;;;;;;;
ATA_colonize_patagonia_desc;Patagonia evaded colonization due to fierce resistance of the native tribes in the area. Considering how strategically important the southern tip of Araiana is, we must secure the area.;;;;;;;;;;;;;
ATA_core_nogojidaga_title;Integrate Nogojidaga;;;;;;;;;;;;;
ATA_core_nogojidaga_desc;Nogojidaga is a marshy region to our north. Located on the crossroads of the major Araianan nations, it's only a matter of time until one of them takes these lands over. And we need to make sure it is going to be us.;;;;;;;;;;;;;
ATA_expand_orungu_title;Expand Influence in Orungu;;;;;;;;;;;;;
ATA_expand_orungu_desc;Orungu is a small kingdom in Gabon that was taken over by our forces in the last decade. The reason why they are so important for us is the fact that they offer to buy slaves at a lucrative price. If we were to build up the coastal areas we have already established control over, we could seize the slave supply ourselves, which would be useful for any future projects of ours.;;;;;;;;;;;;;
ATA_prospect_famatina_title;Prospect Famatina;;;;;;;;;;;;;
ATA_prospect_famatina_desc;Famatina is an area at the border of Cura and Catamarca regions that reportedly could contain valuable industrial resources. If Antartida ever wants to be a self-sustaining power able to project its influence over the entire South Atlantic, it needs a strong heavy industry, capable of producing both land and sea armaments. We should send prospectors to Famatina and the neighboring areas to find the hidden deposits, so that we don't have to import coal, iron and sulphur from abroad.;;;;;;;;;;;;;
ATA_slaves_for_famatina_title;Slaves for Famatina;;;;;;;;;;;;;
ATA_slaves_for_famatina_desc;After we have successfully established mines in the western part of Antartida, an expected problem became apparent: lack of labourers. Not many people coming into Antartida want to travel all the way to the far west, into arid steppe and mountain regions to toil away in the mines. As such, we will apply a more traditional solution: slave labour. Importing tens of thousands of negroes wouldn't be a problem considering our recent takeover of Gabon.;;;;;;;;;;;;;
ATA_prospect_trencavelia_title;Prospect Trencavelia;;;;;;;;;;;;;
ATA_prospect_trencavelia_desc;The Andes might have substantial deposits of natural resources, but we could look even closer to find what we search for. In the hills of Trencavelia Menor there are already significant coal deposits being developed. And in the plains of Trencavelia Mager, a town by the name of Minas de Corral was recently established, apparently located on a massive iron deposit. We need to look into these areas further and set up mines in the region.;;;;;;;;;;;;;
ATA_slaves_for_trencavelia_title;Slaves for Trencavelia;;;;;;;;;;;;;
ATA_slaves_for_trencavelia_desc;After we have successfully established mines in Trencavelia, an expected problem became apparent: lack of labourers. Not many people coming into Antartida want to travel to the supposed paradise-like regions only to toil away in the mines. As such, we will apply a more traditional solution: slave labour. Importing tens of thousands of negroes wouldn't be a problem considering our recent takeover of Gabon.;;;;;;;;;;;;;
ATA_giant_of_the_south_title;Hegemon of the South;;;;;;;;;;;;;
ATA_giant_of_the_south_desc;Ever since its establishment, Antartida has dreamed of becoming a self-sustaining, strong and peaceful country in the Southern Cone. Through tireless labour, ambitious ventures across the sea and conquests at home, we have succeded in becoming just that - the Hegemon of the South, an uncontested master of the Southern Seas and an undefeatable power on the continent.;;;;;;;;;;;;;
ATA_accept_afro_occitan_title;Integrate Former Slaves;;;;;;;;;;;;;
ATA_accept_afro_occitan_desc;With slavery in our country gone, we can integrate the descendants of African slaves we've brought.;;;;;;;;;;;;;
AST_colonize_interior_title;Colonize the Interior;;;;;;;;;;;;;
AST_colonize_interior_desc;The interior of Meridionalia is a harsh desert, not suitable for agriculture and troublesome to settle. We must, however, establish control over it.;;;;;;;;;;;;;
AST_colonize_interior_2_title;Colonize the Interior;;;;;;;;;;;;;
